WB	2.88	-1.57	e1c1	a1d1	r1bk2nr/ppp1bppp/2n5/4P1B1/4p3/2N5/PPP2PPP/R3KBNR w KQ - 2 7
WB	1.32	-0.70	g5f4	g5e7	r2k2nr/pppbbppp/2n5/4P1B1/4p3/2N5/PPP2PPP/3RKBNR w K - 4 8
WB	0.65	-0.65	c3d5	d1d5	r5nr/pppbkppp/2n5/4P3/4p3/2N5/PPP2PPP/3RKBNR w K - 0 9
WB	0.91	-1.45	f2f4	d5b5	r5nr/pppb2pp/2n1k3/3RPp2/4p2P/2N5/PPP2PP1/4KBNR w K - 1 11
WB	-0.12	-4.96	e1d2	g1f3	r2r4/p1pb2pp/3k1n2/4np2/4p2P/1RN5/PPP1BPP1/4K1NR w K - 5 15
WB	-4.70	-0.75	e2f3	g2f3	r2r4/p1pb2pp/3k1n2/4np2/7P/1RN2p2/PPP1BPP1/4K2R w K - 0 16
WB	-4.74	-0.92	e1d2	c3b5	r2r4/p1p3pp/2bk1n2/4np2/7P/1RN2P2/PPP1BP2/4K2R w K - 1 17
WB	-3.98	-1.04	h1g1	h4h5	r2r4/p1pk2pp/2b2n2/1N2np2/7P/1R3P2/PPP1BP2/4K2R w K - 3 18
WB	-4.51	-1.36	h1h4	b3c3	r2r4/p1pk2pp/2b2n2/1N2n2P/5p2/1R3P2/PPP1BP2/4K2R w K - 0 19
WB	-4.75	-1.14	h1g1	a2a4	r1kr4/p1p3pp/2b2n2/1N2n2P/5p2/2R2P2/PPP1BP2/4K2R w K - 2 20
WB	-5.84	-4.79	b5a3	c3b3	r1kr4/2p3pp/p1b2n2/1N2n2P/P4p2/2R2P2/1PP1BP2/4K2R w K - 0 21
BB	-0.82	0.68	g8f6	b8c6	rnbqk1nr/ppp1bppp/8/3p4/3P1B2/8/PPP1QPPP/RN2KBNR b KQkq - 3 5
BB	-0.46	0.63	f8e8	c8d7	r1bq1rk1/ppp1bppp/2n2n2/3p4/3P1B2/2N2N2/PPP1QPPP/2KR1B1R b - - 9 8
BB	0.00	0.95	f8e8	e7d6	r2q1rk1/pppbbppp/2n2n2/3pN3/3P1B2/2N5/PPP1QPPP/2KR1B1R b - - 11 9
WB	-0.05	-4.08	f3e5	d1e2	rnbq1rk1/p4ppp/1p2pn2/2pp4/3P1P2/2NB1N2/PPP2PPP/R2Q1RK1 w - - 0 9
WB	-4.40	-4.72	c4e2	f3e5	rnq2rk1/p4ppp/bp2p3/1N1n4/2QP1P2/5NP1/PPP2P1P/R4RK1 w - - 1 14
WB	-9.10	-0.87	f1d1	a1d1	r4rk1/p4ppp/1pn1p3/1b1n4/2NP1P2/1P4P1/P1P2P1P/R4RK1 w - - 1 17
WB	-9.86	-0.96	a2a4	d1d3	r2r2k1/p4ppp/1pn1p3/1b1n4/2NP1P2/1P4P1/P1P2P1P/3R1RK1 w - - 3 18
WB	-10.64	-0.53	d3d2	d3e3	r2r2k1/p4ppp/1pn1p3/1b6/1nNP1P2/1P1R2P1/P1P2P1P/5RK1 w - - 5 19
WB	-11.02	-1.15	g1g2	c3e3	r2r2k1/p4ppp/1pn1p3/1b6/2Nn1P2/1PR3P1/P4P1P/5RK1 w - - 0 21
BB	0.13	0.58	e7e5	g7g6	rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq - 0 1
BB	0.58	0.62	c8g4	b8c6	rnbqk1nr/1pp1ppb1/p2p2pp/8/3PP3/2NB1N2/PPP2PPP/R1BQ1RK1 b kq - 1 6
BB	1.13	5.03	e5g7	g8f6	r2qk1nr/1ppbpp2/p2p2pp/3Pb3/4P3/2PB4/PP2NPPP/R1BQ1RK1 b kq - 0 10
BB	5.72	2.62	c7c6	f6e4	r2qk2r/1ppbpp2/p2p1npp/3Pb3/4PP2/2PB4/PP2N1PP/R1BQ1RK1 b kq - 0 11
BB	8.55	991.44	c5e6	f7e6	r2qk2r/1ppbpp2/p2pP1pp/2nP4/8/2PB4/PP2N1PP/R1BQ1RK1 b kq - 0 13
WB	0.00	-4.40	e2e4	c1e3	r1bqk2r/ppp2pp1/2n2n1p/3pp3/1b6/2NP1NP1/PPP1PPBP/R1BQ1RK1 w kq - 2 7
