WB	2.07	-1.74	d1f3	g2f3	r2qk2r/pp1nbppp/3p1n2/2pPp3/2P1P2P/2N1Bb2/PP3PP1/R2QKB1R w KQkq - 0 9
WB	0.82	-0.54	f3f4	a2a4	r2q1rk1/pp1nbppp/3p1n2/2pPp3/2P1P2P/2N1BP2/PP3P2/R2QKB1R w KQ - 1 10
WB	1.72	-1.67	h4h5	h1g1	r2q1rk1/1p1nbppp/3p1n2/p1pPp3/P1P1P2P/2N1BP2/1P3P2/R2QKB1R w KQ - 0 11
WB	0.33	-2.57	c3b5	g1g5	r2q1rk1/1p1nbppp/3p4/p1pPp2n/P1P1P2P/2N1BP2/1P3P2/R2QKBR1 w Q - 2 12
BB	-2.78	11.87	f8g7	d8a5	rnbqkb1r/pp1p1pP1/4p3/2p3p1/3P4/8/PPP2PPP/RN1QKBNR b KQkq - 0 6
BB	-3.92	3.40	g5g4	e8g8	r1b1k2r/pp1p1pb1/2n1p3/2q3p1/8/2PB1N2/PP3PPP/RN1QK2R b KQkq - 3 10
BB	-1.60	1.84	g5g4	b7b5	r1b2rk1/pp1p1pb1/2n1p3/2q3p1/8/2PB1N2/PP3PPP/RN1Q1RK1 b - - 5 11
WB	0.90	-0.74	c4d5	b1c3	rnbqkb1r/ppp1pppp/5n2/3p4/2PP4/8/PP2PPPP/RNBQKBNR w KQkq - 0 3
WB	1.83	-1.93	e4d5	c3d5	r2qkb1r/pppb2pp/1nn2p2/3p4/4P3/2N1BN2/PP3PPP/R2QKB1R w KQkq - 0 10
WB	3.50	-1.68	f3g5	a2a3	r3k1nr/pppb1ppp/1b6/4P3/1B6/5N2/PPP2PPP/3RKB1R w Kkq - 3 12
BB	0.81	1.29	f7f5	h7h5	r2qkb1r/pppb1ppp/2n1p3/3p4/2PPn3/5NP1/PP1NPPBP/R1BQ1RK1 b kq - 7 7
BB	0.00	0.71	a7a6	b8c6	rnbq1rk1/ppp1bppp/4pn2/8/2BP4/4PN2/PP3PPP/RNBQ1RK1 b - - 2 7
BB	0.20	1.00	c6b4	d8d5	r1bq1rk1/ppp1bppp/2n1pn2/8/3P4/3BPN2/PP3PPP/RNBQ1RK1 b - - 4 8
BB	-0.29	0.81	e4f6	f7f5	r1b2rk1/ppp1bppp/2n1p3/3q4/3Pn3/3B1N2/PP3PPP/RNBQR1K1 b - - 1 10
WB	0.86	-0.86	a2a3	a2a4	r1bqkb1r/ppp1pppp/5n2/8/1n1P4/2N1BN2/PPP2PPP/R2QKB1R w KQkq - 6 7
WB	0.00	-0.72	a1c1	f1b5	r2qkb1r/ppp1pppp/5n2/5b2/Pn1P4/2N1BN2/1PP2PPP/R2QKB1R w KQkq - 1 8
WB	-0.50	-0.53	a4a5	f3e5	r2q1rk1/pp3ppp/2pbpn2/8/Pn1P4/2NPBN2/1P2QPPP/R4RK1 w - - 4 13
BB	0.11	0.81	f5g6	b8d7	rn1qkbnr/pp3ppp/2p1p3/3p1b2/2PP4/3BPN2/PP3PPP/RNBQK2R b KQkq - 1 5
BB	-0.97	0.89	b6d5	g8f6	r2qkbnr/pp3ppp/1np5/5p2/2NP4/1Pp1PN2/P4PPP/R1BQ1RK1 b kq - 1 10
BB	-0.92	1.00	d8c7	h7h5	r2qkb1r/pp3ppp/1np2n2/4Np2/2NP4/1Pp1P3/P4PPP/R1BQ1RK1 b kq - 3 11
WB	1.03	-0.70	b1c3	g2g3	rnbqkb1r/pp2pppp/3p1n2/2pP4/2P5/8/PP2PPPP/RNBQKBNR w KQkq - 0 4
WB	1.52	-1.33	e2e4	d1d3	rnbqk2r/pp2bppp/3p4/2pPp2n/2P5/2N2NP1/PP2PP1P/R1BQKB1R w KQkq - 4 7
WB	1.42	-1.00	f1g2	h1g1	rnbqk2r/pp2bppp/3p1n2/2pPp3/2P5/2NQ1NP1/PP2PP1P/R1B1KB1R w KQkq - 6 8
WB	0.74	-0.82	e2e4	a2a4	rnbq1rk1/pp2bppp/3p1n2/2pPp3/2P5/2NQ1NP1/PP2PP1P/R1B1KBR1 w Q - 8 9
WB	0.47	-1.05	e2e4	h2h4	rnbq1rk1/1p2bppp/3p1n2/p1pPp3/P1P5/2NQ1NP1/1P2PP1P/R1B1KBR1 w Q - 0 10
WB	1.12	-0.71	g3g4	h4h5	rnbq1rk1/1p3ppp/3p1b2/p1pP4/P1P1Q2P/5NP1/1P2PP2/R1B1KBR1 w Q - 1 13
BB	-0.79	0.54	d5e4	f6e4	rnbqkb1r/pp3ppp/2p1pn2/3p4/2PPP3/2N2N2/PP3PPP/R1BQKB1R b KQkq - 0 5
BB	-3.82	3.54	f8b4	b8a6	rnbqkb1r/pp3ppp/2p1p3/4N3/2PPp3/8/PP3PPP/R1BQKB1R b KQkq - 1 7
BB	-2.57	1.74	f7f6	d8a5	r1bqkb1r/pp3ppp/n1p1p3/4N3/2PPp3/8/PP2BPPP/R1BQK2R b KQkq - 3 8
BB	-0.73	5.99	a5d8	a6b4	r1b1kb1r/pp3ppp/n1p1p3/q3N3/2PPp3/8/PP1BBPPP/R2QK2R b KQkq - 5 9
BB	1.22	5.68	a5d8	h7h6	r1b1kb1r/pp3ppp/2p1p3/q3N3/1nPPp3/8/PP1BBPPP/R2Q1RK1 b kq - 7 10
BB	5.97	1.51	f8e7	b7b6	r1b1kb1r/pp3pp1/2p1p2p/q1P1N3/1n1Pp3/8/PP1BBPPP/R2Q1RK1 b kq - 0 11
WB	2.06	-4.79	h2h3	a2a4	r1bqk2r/ppp2ppp/2p2n2/2b5/4P3/2N5/PPPP1PPP/R1BQKB1R w KQkq - 2 6
WB	-2.87	-3.96	d1f3	f2f4	r1bqk2r/ppp2ppp/2p5/2b5/P3P1n1/2N5/1PPP1PPP/R1BQKB1R w KQkq - 1 7
WB	5.31	-7.70	c5e7	d2d4	r1b1k2r/ppp1qppp/2p5/2Q5/P3PP2/2N5/1PPP2PP/R1B1KB1n w Qkq - 1 10
WB	12.40	-1.02	c2c4	c1d2	r3k2r/ppp2ppp/2p1b3/2Q5/P2PNP2/8/1PP3PP/R1B1KB1n w Qkq - 1 12
BB	0.02	0.59	h7h6	b8a6	rn1qkb1r/pp3ppp/2p1pn2/3p1b2/2PP4/4PN2/PP2BPPP/RNBQ1RK1 b kq - 1 6
BB	-0.55	1.05	a6b4	h7h5	r2qkb1r/pp3ppp/n1p1pn2/3p1b2/2PP4/4PN2/PP2BPPP/RNBQR1K1 b kq - 3 7
BB	0.39	5.36	e6d5	f6d5	r2qkb1r/pp3pp1/n1p1pn2/3P1b1p/3P4/4PN2/PP2BPPP/RNBQR1K1 b kq - 0 8
BB	2.17	4.82	d5c3	h8h6	r2qkb1r/pp3pp1/n1p1p3/3n1b1p/3P4/2N1PN2/PP2BPPP/R1BQR1K1 b kq - 1 9
BB	5.93	1.20	h6g6	h6f6	r2qkb2/pp3pp1/n1p1p2r/4N2p/3Pb3/2P5/P3BPPP/R1BQR1K1 b q - 1 12
WB	2.02	-0.87	c1g5	a2a4	rnbqkb1r/ppp2ppp/1n1p4/4P3/3Q4/2N2N2/PPP2PPP/R1B1KB1R w KQkq - 0 7
WB	2.25	-0.75	d4d8	d4e5	rnbqkb1r/ppp2ppp/1n6/4p3/P2Q4/2N2N2/1PP2PPP/R1B1KB1R w KQkq - 0 8
WB	1.68	-0.92	c1f4	c1e3	rnb1kb1r/ppp1qppp/1n6/4Q3/P7/2N2N2/1PP2PPP/R1B1KB1R w KQkq - 1 9
WB	4.74	-3.89	c3d5	f1b5	rnb1kb1r/pppn1ppp/8/4N3/P7/2N1B3/1PP2PPP/R3KB1R w KQkq - 1 11
WB	1.73	-4.25	b5c4	e1c1	rn2kb1r/pp1b1ppp/2p5/1B6/P7/2N1B3/1PP2PPP/R3K2R w KQkq - 0 13
WB	0.23	-0.60	d2d4	f1g2	rnbqkbnr/pp1p1ppp/2p5/4p3/2P5/6P1/PP1PPP1P/RNBQKBNR w KQkq - 0 3
WB	-0.23	-0.51	d2d4	d1b3	rnbqkbnr/pp3ppp/8/3pp3/8/6P1/PP1PPPBP/RNBQK1NR w KQkq - 0 5
WB	2.35	-3.41	b3b7	e4c3	r2qkb1r/pp3ppp/2n2n2/5b2/4N3/1Q4P1/PP2PPBP/R1B1K1NR w KQkq - 1 10
WB	5.60	-11.69	g2c6	h2h4	r2qk2r/pp3ppp/2n2n2/5b2/1b6/1QN3P1/PP2PPBP/R1B1K1NR w KQkq - 3 11
WB	0.98	-4.11	g1f3	c1f4	r2q1rk1/pp3ppp/2n2n2/5b2/1b5P/1QN3P1/PP2PPB1/R1B1K1NR w KQ - 1 12
WB	-3.46	-2.70	b3d1	b3b4	r2q1rk1/pp3ppp/5n2/5b2/1b1n1B1P/1QN3P1/PP2PPB1/R3K1NR w KQ - 3 13
WB	0.83	-0.91	h2h4	f4g6	rn1qkb1r/pp3ppp/2p1pnb1/8/3P1N2/6N1/PPP2PPP/R1BQKB1R w KQkq - 2 8
WB	0.01	-0.80	d1f3	a2a4	rn2k2r/ppq2pp1/2pbpnp1/8/3P4/2P1B1N1/PP3PPP/R2QKB1R w KQkq - 1 11
WB	-0.26	-0.60	d1f3	a4a5	rn2k2r/1pq2pp1/p1pbpnp1/8/P2P4/2P1B1N1/1P3PPP/R2QKB1R w KQkq - 0 12
WB	-0.52	-1.52	d1f3	f1d3	r3k2r/1pqn1pp1/p1pbpnp1/P7/3P4/2P1B1N1/1P3PPP/R2QKB1R w KQkq - 1 13
BB	0.07	1.03	g8f6	h7h5	r1b1k1nr/pp1pppbp/6p1/q7/2BpP3/8/PPPPNPPP/R1BQ1RK1 b kq - 3 8
BB	1.11	1.55	e7e6	g7e5	r1b1k1nr/pp1pppb1/6p1/q6p/2BpP3/3P4/PPP1NPPP/R1BQ1RK1 b kq - 0 9
BB	-0.74	0.53	g7g5	d7d5	rnbqkbnr/pppp1ppp/8/8/4Pp2/5N2/PPPP2PP/RNBQKB1R b KQkq - 1 3
BB	-0.04	1.89	c7c6	e8f8	rnbqk1nr/ppp2ppp/3b4/3P4/3P1p2/5N2/PPP3PP/RNBQKB1R b KQkq - 0 5
BB	2.00	1.22	b7b6	h7h5	rnbq1knr/ppp2ppp/3b4/3P4/2PP1p2/5N2/PP4PP/RNBQKB1R b KQ - 0 6
