WB	1.02	-1.12	d4d5	h2h4	r1bqk2r/pppn1pbp/3p1np1/4p3/2PPP3/2N1BP2/PP4PP/R2QKBNR w KQkq - 0 7
WB	1.00	-1.66	d1d2	f3f4	r2q1rk1/pp3pbp/3p1np1/2p1n3/2P1P2P/2N2P1R/PP3BP1/R2QKB2 w Q - 1 12
WB	-0.31	-1.56	f1e2	f2g1	r2q1rk1/pp3pbp/3p1np1/2p5/2P1PPnP/2N4R/PP3BP1/R2QKB2 w Q - 1 13
BB	-1.17	1.49	c5d4	h7h5	r1bqkbnr/pp3ppp/2n1p3/1BppP3/3P4/2N5/PPP2PPP/R1BQK1NR b KQkq - 3 5
BB	-1.42	0.80	c8a6	d8c7	1rbqk1nr/p4pp1/2p1p3/2bpP2p/3N4/2N5/PPP2PPP/R1BQK2R b KQk - 3 9
BB	-4.57	5.90	c5d4	c5b4	1rb1k1nr/p4pp1/2p1p3/2bpq2p/N2N4/4B3/PPP2PPP/R2QK2R b KQk - 1 11
BB	1.43	1.86	b4d6	b4e7	1rb1k1nr/p4pp1/2p1p3/3pq2p/Nb1N4/2P1B3/PP3PPP/R2QK2R b KQk - 0 12
WB	0.97	-0.85	c1g5	d1d3	r2qk2r/pppn1pbp/3p1np1/4p3/2PPP3/2N2B2/PP3PPP/R1BQ1RK1 w kq - 0 9
WB	0.17	-0.95	d4d1	c1e3	r2q1rk1/pppn1pbp/3p1np1/8/2PQP3/2N2B2/PP3PPP/R1B2RK1 w - - 1 11
WB	-0.44	-3.57	d4d2	e3d2	r2q1rk1/ppp2pbp/3p2p1/4n3/2PQP1n1/2N1B3/PP2BPPP/R4RK1 w - - 5 13
BB	0.25	0.74	e7e5	e7e6	r1bqkbnr/pppppppp/2n5/8/4P3/5N2/PPPP1PPP/RNBQKB1R b KQkq - 2 2
BB	-1.88	1.47	f7f6	e7b4	r2q1rk1/pppbbppp/2n1p3/1N1pP3/3P4/5N2/PPP2PPP/R2QKB1R b KQ - 3 8
BB	-0.22	0.98	a7a6	a7a5	r2q1rk1/pppbbppp/2n1p3/1N1pP3/3P4/2PB1N2/PP3PPP/R2QK2R b KQ - 2 10
WB	2.98	-1.06	f3g5	c1g5	rnbqk2r/pp1p1ppp/2p1p3/b2nP3/3P4/N1P2N2/PP3PPP/R1BQKB1R w KQkq - 0 7
WB	11.94	-3.08	a3c4	h2h4	rnbk3r/ppnp1ppp/2p1p3/b3P3/3P4/N1P2N2/PP3PPP/R2QKB1R w KQ - 0 9
WB	12.15	-3.29	a3c4	h4h5	rnb1k2r/ppnp1ppp/2p1p3/b3P3/3P3P/N1P2N2/PP3PP1/R2QKB1R w KQ - 1 10
WB	12.30	-2.65	a3c4	h1h4	rnbk3r/ppnp1ppp/2p1p3/b3P2P/3P4/N1P2N2/PP3PP1/R2QKB1R w KQ - 1 11
WB	12.40	-2.62	a3c4	f1d3	rnb1k2r/ppnp1ppp/2p1p3/b3P2P/3P3R/N1P2N2/PP3PP1/R2QKB2 w Q - 3 12
BB	-6.80	0.55	f6e4	a5c3	r1b1k2r/pp2ppbp/2p2np1/q7/2B1P3/1PN1B3/P1P2PPP/R2QK2R b KQkq - 0 9
WB	0.74	-0.66	b1c3	b2b4	rnbqkb1r/pppppp1p/5np1/8/2P5/5N2/PP1PPPPP/RNBQKB1R w KQkq - 0 3
WB	0.50	-0.65	f1g2	b1a3	rn1qk2r/ppp1ppbp/3p1np1/8/1PP3b1/5NP1/PB1PPP1P/RN1QKB1R w KQkq - 1 6
WB	0.06	-1.09	f1g2	b3e3	rn1q1rk1/ppp1ppbp/5np1/3p4/1PP5/NQ3PP1/PB1P1P1P/R3KB1R w KQ - 0 9
WB	0.42	-6.24	e3d4	b2d4	rn1q1rk1/ppp1ppbp/5np1/8/1PPp4/N3QPP1/PB1P1P1P/R3KB1R w KQ - 0 10
WB	0.54	-0.78	d4c3	a3b5	rn1q1rk1/ppp1ppbp/6p1/7n/1PPB4/N3QPP1/P2P1P1P/R3KB1R w KQ - 1 11
WB	3.63	-2.37	d4d8	b4c5	rn1q1rk1/pp2pp1p/6p1/1Np4n/1PPQ4/5PP1/P2P1P1P/R3KB1R w KQ - 0 13
BB	0.32	0.52	a7a6	e7e6	rnbqkb1r/pp2pppp/3p1n2/8/3NP3/2N5/PPP2PPP/R1BQKB1R b KQkq - 2 5
BB	-2.25	2.81	f6e4	b8c6	rnb1k2r/pp2bpp1/1q1ppn1p/8/4PP1B/1NN5/PPP3PP/R2QKB1R b KQkq - 3 9
BB	0.23	1.01	a7a6	e8g8	r1b1k2r/pp2bpp1/1qnppn1p/8/4PP1B/1NN2Q2/PPP3PP/R3KB1R b KQkq - 5 10
WB	0.49	-1.24	f4g5	f4d2	r2qk2r/pp1n1pbp/2pp1np1/4p3/3P1B2/2NQ1BP1/PPP1PP1P/R4RK1 w kq - 0 10
BB	-1.11	4.53	d8b6	g8f6	r1bqkbnr/pp3ppp/2n1p3/2ppP1B1/3P4/5N2/PPP2PPP/RN1QKB1R b KQkq - 2 5
BB	3.50	7.05	g7f6	c5d4	r1bqkb1r/pp3ppp/2n1pP2/2pp2B1/3P4/5N2/PPP2PPP/RN1QKB1R b KQkq - 0 6
BB	3.61	1.10	e6e5	c8d7	r1bqkb1r/pp3ppp/2n1pP2/3p4/3p3B/5N2/PPP2PPP/RN1QKB1R b KQkq - 1 7
BB	4.63	9.51	d8a5	f8b4	r2qkb1r/pp1b1pPp/2n1p3/3p4/3p3B/5N2/PPP2PPP/RN1QKB1R b KQkq - 0 8
WB	10.40	-2.04	f3g5	h2h4	rnbk3r/pp1p1ppp/1bp1p3/3nP3/3P4/N1P2N2/PP3PPP/R2QKB1R w KQ - 0 9
WB	9.40	-1.00	f3g5	h4h5	rnb1k2r/pp1p1ppp/1bp1p3/3nP3/3P3P/N1P2N2/PP3PP1/R2QKB1R w KQ - 1 10
WB	10.10	-1.31	f3g5	h1h4	rnbk3r/pp1p1ppp/1bp1p3/3nP2P/3P4/N1P2N2/PP3PP1/R2QKB1R w KQ - 1 11
WB	9.51	-0.62	a3c4	f1d3	rnb1k2r/pp1p1ppp/1bp1p3/3nP2P/3P3R/N1P2N2/PP3PP1/R2QKB2 w Q - 3 12
WB	10.89	-1.49	f3g5	a3c4	rnbk3r/pp1p1ppp/1bp1p3/3nP2P/3P3R/N1PB1N2/PP3PP1/R2QK3 w Q - 5 13
BB	0.13	0.64	b8c6	d7d6	rnbqkb1r/pp1p1ppp/4pn2/8/3NP3/2N5/PPP2PPP/R1BQKB1R b KQkq - 2 5
BB	-1.63	0.88	a7a6	b8c6	rnbq1rk1/pp3ppp/3ppb2/1B6/4P3/1NN5/PPP2PPP/R2QK2R b KQ - 3 9
WB	0.81	-0.60	c1g5	d1d3	r2qk2r/pppn1pbp/3p1np1/4p3/2PPP3/2N2B2/PP3PPP/R1BQ1RK1 w kq - 0 9
WB	0.25	-0.96	d4d1	c1e3	r2q1rk1/pppn1pbp/3p1np1/8/2PQP3/2N2B2/PP3PPP/R1B2RK1 w - - 1 11
WB	-0.59	-3.66	d4d2	e4e5	r2q1rk1/pppn1pbp/3p2p1/8/2PQP1n1/2N1BB2/PP3PPP/R4RK1 w - - 3 12
