BB	-0.14	1.25	f6e4	d7d5	r1bqkb1r/pp1p1ppp/2n1pn2/8/2B1P3/2N2N2/PP3PPP/R1BQ1RK1 b kq - 3 7
BB	0.83	4.84	e6d5	c6b4	r1bqkb1r/pp3ppp/2n1pn2/3P4/2B5/2N2N2/PP3PPP/R1BQ1RK1 b kq - 0 8
BB	1.78	3.63	d8d1	f7e6	r2qkb1r/pp3ppp/4Bn2/8/1n6/2N2N2/PP3PPP/R1BQ1RK1 b kq - 0 10
BB	3.64	4.29	d8c8	e8f7	r2qkb1r/pp4pp/4pn2/8/1n6/2N2N2/PP2QPPP/R1B2RK1 b kq - 1 11
WB	1.03	-0.88	d4e5	d1b3	r2q1rk1/pppn1pbp/3p1np1/4p3/2PPP3/2N1BB2/PP3PPP/R2Q1RK1 w - - 0 10
WB	1.07	-1.38	f3e2	b3b7	r2q1rk1/pp3pbp/3p1np1/2p1n3/2P1P3/1QN1BB2/PP3PPP/R4RK1 w - - 2 13
BB	0.30	0.57	c7c5	c8g4	rnbqkb1r/ppp1pppp/3p1n2/8/4P3/2N2N2/PPPP1PPP/R1BQKB1R b KQkq - 3 3
BB	-1.30	0.76	e4d3	e4c6	rn1qk2r/ppp1bppp/3pp3/6P1/3Pb3/3BBN1P/PPP2P2/R2QK2R b KQkq - 1 10
BB	-2.16	1.97	c6f3	e8g8	r2qk2r/pppnbppp/2bpp3/6P1/2PP4/3BBN1P/PP2QP2/R3K2R b KQkq - 2 12
WB	1.29	-1.19	f3g5	b1a3	r1bqk2r/ppp2pp1/2np1n2/2b1p2p/2B1P3/2PP1N1P/PP3PP1/RNBQK2R w KQkq - 0 7
WB	2.90	-0.51	b2b4	e1g1	r1bqk1r1/ppp2p2/2np1n2/2b1p1Bp/2B1P3/N1PP1N1P/PP3PP1/R2QK2R w KQq - 1 9
WB	3.59	-4.55	b2b4	d1a4	r1bqk1r1/ppp2p2/2np1n2/2b1p1B1/2B1P2p/N1PP1N1P/PP3PP1/R2Q1RK1 w q - 0 10
WB	0.90	-0.90	c4b5	a3b5	r2qk1r1/pppb1p2/2np1n2/2b1p1B1/Q1B1P2p/N1PP1N1P/PP3PP1/R4RK1 w q - 2 11
WB	0.45	-3.90	b5c7	b5a3	r2qk1r1/1ppb1p2/p1np1n2/1Nb1p1B1/Q1B1P2p/2PP1N1P/PP3PP1/R4RK1 w q - 0 12
WB	-2.96	-10.25	c3d4	a4a5	r2qk1r1/1ppb1p2/p2p1n2/2b1p1B1/Q1BnP2p/N1PP1N1P/PP3PP1/R4RK1 w q - 2 13
BB	-1.42	2.46	g8f6	e7e5	r1bqkbnr/pp2pppp/2n5/3p4/8/2NB1N2/PPP2PPP/R1BQ1RK1 b kq - 3 7
BB	1.15	3.20	f7f6	d8d6	r1bqkbnr/pp3ppp/2n5/3pp3/8/2NB1N2/PPP2PPP/R1BQR1K1 b kq - 1 8
