BB	-0.13	0.98	g7g6	h7h5	r1b1kb1r/pp2pppp/2n2n2/2qp4/5B2/3BPN2/PPPN1PPP/R2QK2R b KQkq - 1 7
BB	0.76	1.08	c8g4	a7a5	r1b1kb1r/pp2ppp1/2n2n2/2qp3p/5B2/3BPN2/PPPN1PPP/R2Q1RK1 b kq - 1 8
BB	0.59	0.57	c8g4	h5h4	r1b1kb1r/1pB1ppp1/2n2n2/2qp3p/p3P3/3B1N2/PPPN1PPP/R2Q1RK1 b kq - 0 10
BB	-1.48	3.80	c6b4	d5e4	r1b1kb2/1pB1ppp1/2n2n2/2qp3r/p1P1P2p/3B1N2/PP1N1PPP/R2QR1K1 b q - 0 12
BB	2.19	1.20	f6e4	c5b4	r1b1kb2/1pB1ppp1/2n2n2/2q4r/p1P1N2p/3B1N2/PP3PPP/R2QR1K1 b q - 0 13
BB	2.28	0.58	g7f6	g7f6	r1b1kb2/1pB1ppp1/2n2N2/7r/pqP4p/3B1N2/PP3PPP/R2QR1K1 b q - 0 14
BB	-2.73	4.75	c6b4	a4a3	r1b1kb2/1pB1pp2/2n2p2/2q4r/p1P4p/3B1N2/PPQ2PPP/3RR1K1 b q - 3 16
BB	1.16	2.47	h4h3	a8a3	r1b1kb2/1pB1pp2/2n2p2/2q4r/2P4p/P2B1N2/P1Q2PPP/3RR1K1 b q - 0 17
BB	-2.12	6.24	c6b4	c8e6	2b1kb2/1pB1pp2/2n2p2/2q4r/2P4p/r2B1N1P/P1Q2PP1/3RR1K1 b - - 0 18
BB	-0.11	8.11	f7g6	c6d4	4kb2/1pB1pp2/2n1bpB1/2q4r/2P4p/r4N1P/P1Q2PP1/3RR1K1 b - - 2 19
BB	-1.77	0.83	f8d6	c7f4	r3kb1r/ppq2p2/2p1bpp1/3p3p/Q2P4/5N2/PPP1PPPP/R3KBR1 b Qkq - 0 13
BB	-0.95	5.02	f4c7	f4e4	r3kb1r/pp3p2/2p1bpp1/3p3p/Q2P1q2/4PN2/PPP2PPP/R3KBR1 b Qkq - 0 14
BB	3.72	1.02	a7a5	b7b5	r3kb1r/pp3p2/2p1bpp1/3p3p/Q2Pq3/3BPN2/PPP2PPP/R3K1R1 b Qkq - 2 15
BB	3.98	1.08	f8e7	e4g4	r3kb1r/p4p2/2p1bpp1/1p1p3p/3Pq3/1Q1BPN2/PPP2PPP/R3K1R1 b Qkq - 1 16
BB	4.65	2.92	g4e4	f8b4	r3kb1r/p4p2/2p1bpp1/1p1p3p/3P2q1/1Q1BPN1P/PPP2PP1/R3K1R1 b Qkq - 0 17
BB	7.90	1.12	e8d7	g4e4	r3k2r/5p2/2p1bpp1/ppQp3p/3P2q1/3BPN1P/PPP2PP1/R3K1R1 b Qkq - 1 19
BB	8.54	1.10	e8f8	e6d7	r3k2r/5p2/2Q1bpp1/pp1p3p/3Pq3/3BPN1P/PPP2PP1/R3K1R1 b Qkq - 0 20
WB	2.98	-1.31	d4c5	c1g5	rnbqkbnr/pp2pp1p/3p2p1/2p5/3PP3/2N2N2/PPP2PPP/R1BQKB1R w KQkq - 0 5
WB	2.06	-1.41	g5e3	f1b5	rnbqkbnr/pp2pp2/3p2pp/2p3B1/3PP3/2N2N2/PPP2PPP/R2QKB1R w KQkq - 0 6
WB	0.92	-0.78	f1d1	g1h1	r1r3k1/pp1q1pb1/2np1npp/P3p3/4P3/2NQBN2/1PP2PPP/R4RK1 w - - 1 15
WB	0.70	-0.51	f1d1	f3e5	r1r3k1/pp1q1pb1/5npp/P2pp3/1n2P3/2N1BN2/1PP1QPPP/R4R1K w - - 0 17
WB	0.15	-1.04	c3e4	c3b5	r1r3k1/pp3pb1/4q1pp/P7/4n3/2N1B3/1P2QPPP/R4R1K w - - 0 21
BB	-3.68	7.03	c6d5	d8d5	rn1qkb1r/pp3ppp/2p2n2/3Pp3/2B3b1/3Q4/PPPP1P1P/RNB1K1NR b KQkq - 1 6
BB	2.62	0.78	g4d7	h7h5	2r1kb1r/pQ3ppp/2n2n2/3pp3/6b1/3P4/PPP2P1P/RNB1K1NR b KQk - 0 10
BB	3.05	1.08	g4d7	f8b4	2r1kb1r/pQ3pp1/2n2n2/3pp1Bp/6b1/3P4/PPP2P1P/RN2K1NR b KQk - 1 11
BB	3.44	0.85	e7f6	g7f6	2r1k2r/pQ2bpp1/2n2B2/3pp2p/6b1/2PP4/PP3P1P/RN2K1NR b KQk - 0 13
BB	4.30	0.86	f8d8	a7a5	2r2rk1/pQ2bp2/2n2p2/1N1pp2p/6b1/2PP4/PP3P1P/R3K1NR b KQ - 3 15
BB	3.94	1.07	f8d8	g8g7	2r2rk1/4bp2/1Qn2p2/pN1pp2p/6b1/2PP4/PP3P1P/R3K1NR b KQ - 1 16
